# vectores.dat
# Primer bloque de datos (index 1)
# Vectores locales
# X	# Y
524288 	0.000383895
1048576 0.000772432
2097152 0.001375368


# Segundo bloque de datos (index 2)
# Vectores globales
# X	# Y
524288 	0.000459684
1048576 0.000605075
2097152 0.001558701
4194304 0.002313120
8388608 0.005147435
16777216 0.010150372
33554432 0.020307066
67108864 0.039686577
134217728 0.080375351
268435456 0.157792891


# Segundo bloque de datos (index 3)
# Vectores globales
# X	# Y
524288 	0.000393599
1048576 0.000818920
2097152 0.001515751
4194304 0.002443414
8388608 0.005309428
16777216 0.010359613
33554432 0.020753875
67108864 0.040227559
134217728 0.078965181
268435456 0.157723300
536870912 0.319388779
